Intersecting Intervals: 
Interval1: [5.7658,9.9416] , Interval2: [1.2976,7.1461] 
Interval1: [5.7658,9.9416] , Interval2: [5.2261,8.2656] 
Interval1: [5.7658,9.9416] , Interval2: [3.3443,6.7037] 
Interval1: [5.7658,9.9416] , Interval2: [4.7231,9.8179] 
Interval1: [5.7658,9.9416] , Interval2: [0.0473,9.0099] 
Interval1: [5.7658,9.9416] , Interval2: [0.3199,6.3148] 
Interval1: [5.7658,9.9416] , Interval2: [6.9441,8.0417] 
Interval1: [5.7658,9.9416] , Interval2: [7.0215,8.6394] 
Interval1: [5.7658,9.9416] , Interval2: [4.7214,8.8221] 
Interval1: [5.7658,9.9416] , Interval2: [6.6237,9.6829] 
Interval1: [5.7658,9.9416] , Interval2: [7.1160,9.3276] 
Interval1: [5.7658,9.9416] , Interval2: [6.1313,7.4882] 
Interval1: [5.7658,9.9416] , Interval2: [5.4311,8.6967] 
Interval1: [5.7658,9.9416] , Interval2: [2.6602,9.0564] 
Interval1: [5.7658,9.9416] , Interval2: [2.4374,9.9127] 
Interval1: [5.7658,9.9416] , Interval2: [1.2698,8.4763] 
Interval1: [5.7658,9.9416] , Interval2: [4.2146,7.5826] 
Interval1: [5.7658,9.9416] , Interval2: [0.2209,8.3203] 
Interval1: [5.7658,9.9416] , Interval2: [5.6581,6.9378] 
Interval1: [5.7658,9.9416] , Interval2: [5.3807,6.9743] 
Interval1: [5.7658,9.9416] , Interval2: [6.2200,8.6429] 
Interval1: [5.7658,9.9416] , Interval2: [0.5377,9.2490] 
Interval1: [5.7658,9.9416] , Interval2: [9.4266,9.9494] 
Interval1: [5.7658,9.9416] , Interval2: [5.8638,9.4500] 
Interval1: [5.7658,9.9416] , Interval2: [0.1170,7.3916] 
Interval1: [5.7658,9.9416] , Interval2: [3.1173,6.3764] 
Interval1: [5.7658,9.9416] , Interval2: [6.4329,8.7114] 
Interval1: [5.7658,9.9416] , Interval2: [8.7282,9.2895] 
